#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Bartonella tribocorum","Bacteria;Pseudomonadota;Alphaproteobacteria","BM1374166","SAMEA3139006","PRJEB5999","GCA_000689355.1","Complete",2.63118,38.7661,"chromosome I:NZ_HG969192.1/HG969192.1; plasmid BM1374166:NZ_HG969193.1/HG969193.1",,2,2133,"2014-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/355/GCA_000689355.1_PRJEB5999_assembly_1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/355/GCF_000689355.1_PRJEB5999_assembly_1"
"Rhizobium etli CFN 42","Bacteria;Pseudomonadota;Alphaproteobacteria","CFN 42","SAMN02603106","PRJNA13932","GCA_000092045.1","Complete",6.53023,61.0458,"chromosome:NC_007761.1/CP000133.1; plasmid p42a:NC_007762.1/CP000134.1; plasmid p42b:NC_007763.1/CP000135.1; plasmid p42c:NC_007764.1/CP000136.1; plasmid p42d:NC_004041.2/U80928.5; plasmid p42e:NC_007765.1/CP000137.1; plasmid p42f:NC_007766.1/CP000138.1",,7,5968,"2006-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/045/GCA_000092045.1_ASM9204v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1"
"Streptococcus dysgalactiae subsp. equisimilis","Bacteria;Terrabacteria group;Bacillota","UT_120444","SAMN31646961","PRJNA899496","GCA_030034695.1","Complete",2.28175,39.4,"chromosome:NZ_CP125360.1/CP125360.1",,1,2077,"2023-05-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/034/695/GCF_030034695.1_ASM3003469v1"
"Methanobrevibacter smithii ATCC 35061","Archaea;Euryarchaeota;Methanomada group","DSM 861","SAMN33244397","PRJNA933644","GCA_028743435.1","Complete",1.85316,31,"chromosome:NZ_CP117965.1/CP117965.1",,1,1746,"2023-02-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/743/435/GCF_028743435.1_ASM2874343v1"
"Microcystis aeruginosa NIES-843","Bacteria;Terrabacteria group;Cyanobacteriota/Melainabacteria group","NIES-843","SAMD00060936","PRJDA27835","GCA_000010625.1","Complete",5.84279,42.3,"chromosome:NC_010296.1/AP009552.1",,1,5220,"2008-01-24T23:06:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/625/GCF_000010625.1_ASM1062v1"
"Gluconacetobacter diazotrophicus PA1 5","Bacteria;Pseudomonadota;Alphaproteobacteria","PAl 5","SAMEA3138270","PRJNA377","GCA_000067045.1","Complete",3.99959,66.2969,"chromosome:NC_010125.1/AM889285.1; plasmid pGDIPal5I:NC_010124.1/AM889287.1; plasmid pGDIPal5II:NC_010123.1/AM889286.1",,3,3567,"2007-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/045/GCA_000067045.1_ASM6704v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/045/GCF_000067045.1_ASM6704v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","PartO-Kpneumoniae-RM8376","SAMN14078806","PRJNA605254","GCA_022869665.1","Complete",5.56348,56.9958,"chromosome:NZ_CP064368.1/CP064368.1; plasmid unnamed1:NZ_CP064369.1/CP064369.1; plasmid unnamed2:NZ_CP064370.1/CP064370.1; plasmid unnamed3:NZ_CP064371.1/CP064371.1; plasmid unnamed4:NZ_CP064372.1/CP064372.1",,5,5085,"2022-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/869/665/GCA_022869665.1_ASM2286966v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/665/GCF_022869665.1_ASM2286966v1"
"Bifidobacterium dentium","Bacteria;Terrabacteria group;Actinomycetota","NCTC11816","SAMEA4076722","PRJEB6403","GCA_900637175.1","Complete",2.63583,58.5,"chromosome 1:NZ_LR134349.1/LR134349.1",,1,2099,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/175/GCA_900637175.1_49569_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/175/GCF_900637175.1_49569_F01"
"Bradyrhizobium japonicum USDA 6","Bacteria;Pseudomonadota;Alphaproteobacteria","USDA 6","SAMD00060992","PRJDA67463","GCA_000284375.1","Complete",9.20738,63.7,"chromosome:NC_017249.1/AP012206.1",,1,8391,"2011-10-31T23:11:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/375/GCF_000284375.1_ASM28437v1"
"Burkholderia ambifaria AMMD","Bacteria;Pseudomonadota;Betaproteobacteria","AMMD","SAMN03140296","PRJNA240122","GCA_000959545.1","Complete",7.52858,66.7904,"chromosome 1:NZ_CP009798.1/CP009798.1; chromosome 2:NZ_CP009799.1/CP009799.1; chromosome 3:NZ_CP009800.1/CP009800.1; plasmid pBII_1:NZ_CP009797.1/CP009797.1",,4,6593,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/545/GCA_000959545.1_ASM95954v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/545/GCF_000959545.1_ASM95954v1"
"Brucella suis 1330","Bacteria;Pseudomonadota;Alphaproteobacteria","1330","SAMN02604297","PRJNA70695","GCA_000223195.1","Complete",3.31516,57.2364,"chromosome I:NC_017251.1/CP002997.1; chromosome II:NC_017250.1/CP002998.1",,2,2986,"2011-08-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/195/GCA_000223195.1_ASM22319v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/195/GCF_000223195.1_ASM22319v1"
"Mycobacterium marinum","Bacteria;Terrabacteria group;Actinomycetota","CCUG20998","SAMN07792364","PRJNA414525","GCA_003391395.1","Complete",6.45331,65.7,"chromosome:NZ_CP024190.1/CP024190.1",,1,5168,"2018-08-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/391/395/GCF_003391395.1_ASM339139v1"
"Brucella canis","Bacteria;Pseudomonadota;Alphaproteobacteria","RM6/66","SAMN02795942","PRJNA243891","GCA_000740335.1","Complete",3.31275,57.2364,"chromosome 1:NZ_CP007758.1/CP007758.1; chromosome 2:NZ_CP007759.1/CP007759.1",,2,2963,"2014-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/335/GCA_000740335.1_ASM74033v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/335/GCF_000740335.1_ASM74033v1"
"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'","Bacteria;Spirochaetota;Spirochaetia","Patoc 1 (Ames)","SAMN02603617","PRJNA16153","GCA_000017605.1","Complete",3.95609,38.9019,"chromosome I:NC_010842.1/CP000777.1; chromosome II:NC_010845.1/CP000778.1; plasmid p74:NC_010846.1/CP000779.1",,3,3652,"2008-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/605/GCA_000017605.1_ASM1760v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/605/GCF_000017605.1_ASM1760v1"
"Clavibacter michiganensis","Bacteria;Terrabacteria group;Actinomycetota","LMG7333","SAMN20474849","PRJNA750607","GCA_021216655.1","Complete",3.37756,72.5283,"chromosome:NZ_CP080437.1/CP080437.1; plasmid pCM1_LMG7333:NZ_CP080438.1/CP080438.1; plasmid pCM2_LMG7333:NZ_CP080439.1/CP080439.1",,3,3123,"2021-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/216/655/GCA_021216655.1_ASM2121665v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/216/655/GCF_021216655.1_ASM2121665v1"
"Anaeromyxobacter dehalogenans 2CP-C","Bacteria;Myxococcota;Myxococcia","2CP-C","SAMN02598274","PRJNA12634","GCA_000013385.1","Complete",5.01348,74.9,"chromosome:NC_007760.1/CP000251.1",,1,4442,"2006-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/385/GCA_000013385.1_ASM1338v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/385/GCF_000013385.1_ASM1338v1"
"Rhizobium leguminosarum","Bacteria;Pseudomonadota;Alphaproteobacteria","GLR17","SAMN18219200","PRJNA614606","GCA_017357305.1","Complete",7.5033,60.9054,"chromosome:NZ_CP071626.1/CP071626.1; plasmid p1:NZ_CP071627.1/CP071627.1; plasmid p2:NZ_CP071628.1/CP071628.1; plasmid p3:NZ_CP071629.1/CP071629.1; plasmid p4:NZ_CP071630.1/CP071630.1; plasmid p5:NZ_CP071631.1/CP071631.1",,6,7015,"2021-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/357/305/GCA_017357305.1_ASM1735730v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/305/GCF_017357305.1_ASM1735730v1"
"Treponema pallidum subsp. pallidum","Bacteria;Spirochaetota;Spirochaetia","X-4","SAMN11812273","PRJNA544173","GCA_005885795.1","Complete",1.13984,52.8,"chromosome:NZ_CP040555.1/CP040555.1",,1,980,"2019-05-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/885/795/GCF_005885795.1_ASM588579v1"
"Rickettsia prowazekii str. Breinl","Bacteria;Pseudomonadota;Alphaproteobacteria","Breinl","SAMN01983876","PRJNA188530","GCA_000367405.1","Complete",1.1093,29,"chromosome:NC_020993.1/CP004889.1",,1,823,"2013-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/405/GCA_000367405.1_ASM36740v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/405/GCF_000367405.1_ASM36740v1"
"Borreliella burgdorferi","Bacteria;Spirochaetota;Spirochaetia","B31_NRZ","SAMN06324250","PRJNA270494","GCA_002151505.1","Complete",1.34118,28.4559,"chromosome:NZ_CP019767.1/CP019767.1; plasmid p_lp17:NZ_CP019761.1/CP019761.1; plasmid p_cp26:NZ_CP019755.1/CP019755.1; plasmid p_lp28-1:NZ_CP019762.1/CP019762.1; plasmid p_cp32-1_1:NZ_CP019756.1/CP019756.1; plasmid p_cp32-2:NZ_CP019757.1/CP019757.1; plasmid p_cp32-3:NZ_CP019758.1/CP019758.1; plasmid p_cp32-4:NZ_CP019759.1/CP019759.1; plasmid p_cp32-9:NZ_CP019760.1/CP019760.1; plasmid p_lp36:NZ_CP019763.1/CP019763.1; plasmid p_lp38:NZ_CP019764.1/CP019764.1; plasmid p_lp54:NZ_CP019765.1/CP019765.1; plasmid p_lp56:NZ_CP019766.1/CP019766.1",,13,1280,"2017-05-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/505/GCF_002151505.1_ASM215150v1"
"Brucella anthropi ATCC 49188","Bacteria;Pseudomonadota;Alphaproteobacteria","ATCC 49188","SAMN02598421","PRJNA19485","GCA_000017405.1","Complete",5.20578,56.1453,"chromosome 1:NC_009667.1/CP000758.1; chromosome 2:NC_009668.1/CP000759.1; plasmid pOANT01:NC_009669.1/CP000760.1; plasmid pOANT02:NC_009670.1/CP000761.1; plasmid pOANT03:NC_009671.1/CP000762.1; plasmid pOANT04:NC_009672.1/CP000763.1",,6,4848,"2007-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/405/GCA_000017405.1_ASM1740v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1"
"Burkholderia multivorans ATCC BAA-247","Bacteria;Pseudomonadota;Betaproteobacteria","BAA-247","SAMN03140189","PRJNA264318","GCA_000959525.1","Complete",6.32275,67.2008,"chromosome 1:NZ_CP009832.1/CP009832.1; chromosome 2:NZ_CP009831.1/CP009831.1; chromosome 3:NZ_CP009830.1/CP009830.1",,3,5601,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/525/GCA_000959525.1_ASM95952v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/525/GCF_000959525.1_ASM95952v1"
"Clostridium botulinum","Bacteria;Terrabacteria group;Bacillota","CDC_54064","SAMN04262332","PRJNA301977","GCA_001889365.1","Complete",4.43256,28.0622,"chromosome:NZ_CP013296.1/CP013296.1; plasmid pNPD1_1:NZ_CP013295.1/CP013295.1",,2,4197,"2016-12-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/365/GCF_001889365.1_ASM188936v1"
"Burkholderia oklahomensis C6786","Bacteria;Pseudomonadota;Betaproteobacteria","C6786","SAMN03449125","PRJNA279182","GCA_001522135.2","Complete",7.13479,67.0684,"chromosome 1:NZ_CP013358.1/CP013358.1; chromosome 2:NZ_CP013359.1/CP013359.1",,2,6116,"2016-09-02T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/522/135/GCF_001522135.2_ASM152213v2"
"Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507","Bacteria;Pseudomonadota;Gammaproteobacteria","DSM 507","SAMN25611399","PRJNA803043","GCA_023983475.1","Complete",4.50321,38.2875,"chromosome I:NZ_CP092712.1/CP092712.1; chromosome II:NZ_CP092713.1/CP092713.1",,2,3884,"2022-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/983/475/GCA_023983475.1_ASM2398347v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/983/475/GCF_023983475.1_ASM2398347v1"
"Phaeobacter gallaeciensis","Bacteria;Pseudomonadota;Alphaproteobacteria","JL2886","SAMN04574079","PRJNA316055","GCA_001678945.1","Complete",4.06173,61.5,"chromosome:NZ_CP015124.1/CP015124.1",,1,3734,"2016-07-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/945/GCF_001678945.1_ASM167894v1"
"Burkholderia thailandensis E264","Bacteria;Pseudomonadota;Betaproteobacteria","E264","SAMN02866398","PRJNA244539","GCA_003568605.1","Complete",6.7221,67.6,"chromosome 1:NZ_CP008785.1/CP008785.1; chromosome 2:NZ_CP008786.1/CP008786.1",,2,5614,"2014-09-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/605/GCF_003568605.1_ASM356860v1"
"Mycoplasma mycoides subsp. mycoides SC str. PG1","Bacteria;Terrabacteria group;Mycoplasmatota","PG1","SAMEA3138208","PRJNA10616","GCA_000011445.1","Complete",1.2117,24,"chromosome:BX293980.2",,1,1016,"2004-02-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/445/GCA_000011445.1_ASM1144v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/445/GCF_000011445.1_ASM1144v1"
"Ureaplasma urealyticum","Bacteria;Terrabacteria group;Mycoplasmatota","315","SAMN10716289","PRJNA513930","GCA_006777105.1","Complete",0.853955,25.7,"chromosome:NZ_CP039963.1/CP039963.1",,1,655,"2019-07-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/777/105/GCF_006777105.1_ASM677710v1"
"Ureaplasma parvum","Bacteria;Terrabacteria group;Mycoplasmatota","106","SAMN12061317","PRJNA548992","GCA_006716515.1","Complete",0.741809,25.5,"chromosome:NZ_CP041199.1/CP041199.1",,1,586,"2019-07-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/515/GCF_006716515.1_ASM671651v1"
"Porphyromonas gingivalis ATCC 33277","Bacteria;FCB group;Bacteroidota/Chlorobiota group","ATCC 33277","SAMN07315160","PRJNA393092","GCA_002892575.1","Complete",2.37987,48.4,"chromosome:NZ_CP025930.1/CP025930.1",,1,1950,"2018-01-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/575/GCF_002892575.1_ASM289257v1"
"Clostridium kluyveri DSM 555","Bacteria;Terrabacteria group;Bacillota","DSM 555","SAMN02603294","PRJNA19065","GCA_000016505.1","Complete",4.0238,32.0206,"chromosome:NC_009706.1/CP000673.1; plasmid pCKL555A:NC_009466.1/CP000674.1",,2,3844,"2007-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/505/GCA_000016505.1_ASM1650v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/505/GCF_000016505.1_ASM1650v1"
"Orientia tsutsugamushi","Bacteria;Pseudomonadota;Alphaproteobacteria","Karp","SAMEA104570320","PRJEB24834","GCA_900327275.1","Complete",2.4698,30.8,"chromosome I:NZ_LS398548.1/LS398548.1",,1,1924,"2018-05-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/327/275/GCA_900327275.1_Karp","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/327/275/GCF_900327275.1_Karp"
"Limosilactobacillus fermentum","Bacteria;Terrabacteria group;Bacillota","LMT2-75","SAMN10417155","PRJNA505388","GCA_003855655.1","Complete",2.32746,50.4769,"chromosome:NZ_CP034099.1/CP034099.1; plasmid p1:NZ_CP034100.1/CP034100.1",,2,2182,"2018-12-02T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/655/GCF_003855655.1_ASM385565v1"
"Methylobacterium radiotolerans","Bacteria;Pseudomonadota;Alphaproteobacteria","NYY1","SAMN24669137","PRJNA795012","GCA_021484845.1","Complete",6.85323,71.0485,"chromosome:NZ_CP090579.1/CP090579.1; plasmid pNYY1_1:NZ_CP090580.1/CP090580.1; plasmid pNYY1_2:NZ_CP090581.1/CP090581.1; plasmid pNYY1_3:NZ_CP090582.1/CP090582.1; plasmid pNYY1_4:NZ_CP090583.1/CP090583.1; plasmid pNYY1_5:NZ_CP090584.1/CP090584.1; plasmid pNYY1_6:NZ_CP090585.1/CP090585.1; plasmid pNYY1_7:NZ_CP090586.1/CP090586.1",,8,6272,"2022-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/484/845/GCA_021484845.1_ASM2148484v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/484/845/GCF_021484845.1_ASM2148484v1"
"Sulfolobus islandicus Y.N.15.51","Archaea;TACK group;Thermoproteota","Y.N.15.51","SAMN02598411","PRJNA18651","GCA_000022485.1","Complete",2.85441,35.3118,"chromosome:NC_012623.1/CP001404.1; plasmid pYN01:NC_012624.1/CP001405.1",,2,2885,"2009-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/485/GCA_000022485.1_ASM2248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/485/GCF_000022485.1_ASM2248v1"
"Lactococcus garvieae ATCC 49156","Bacteria;Terrabacteria group;Bacillota","ATCC 49156","SAMD00060911","PRJDA18705","GCA_000269925.1","Complete",1.95013,38.8,"chromosome:NC_015930.1/AP009332.1",,1,1882,"2011-08-09T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/925/GCA_000269925.1_ASM26992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/925/GCF_000269925.1_ASM26992v1"
"Methylorubrum extorquens","Bacteria;Pseudomonadota;Alphaproteobacteria","TK 0001","SAMEA104358467","PRJEB23178","GCA_900234795.1","Complete",5.71551,68.3,"chromosome TK0001:NZ_LT962688.1/LT962688.1",,1,4971,"2017-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/795/GCA_900234795.1_TK0001_PRJEB23178_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/234/795/GCF_900234795.1_TK0001_PRJEB23178_v1"
"Saccharopolyspora erythraea","Bacteria;Terrabacteria group;Actinomycetota","NRRL 23338","SAMN17765490","PRJNA699044","GCA_016859185.1","Complete",8.30565,71.1,"chromosome:NZ_CP069353.1/CP069353.1",,1,7153,"2021-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/859/185/GCA_016859185.1_ASM1685918v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/859/185/GCF_016859185.1_ASM1685918v1"
"Vibrio harveyi","Bacteria;Pseudomonadota;Gammaproteobacteria","1","SAMN20353411","PRJNA749085","GCA_024971935.1","Complete",6.09566,44.8731,"chromosome 1:NZ_CP080097.1/CP080097.1; chromosome 2:NZ_CP080098.1/CP080098.1",,2,5396,"2022-09-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/971/935/GCF_024971935.1_ASM2497193v1"
"Bifidobacterium adolescentis","Bacteria;Terrabacteria group;Actinomycetota","LMG 10502","SAMN33244129","PRJNA933628","GCA_028743295.1","Complete",2.08964,59.2,"chromosome:NZ_CP117956.1/CP117956.1",,1,1656,"2023-02-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/743/295/GCF_028743295.1_ASM2874329v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ATCC 17802","SAMN03996250","PRJNA231221","GCA_001558495.2","Complete",5.15246,45.3276,"chromosome 1:NZ_CP014046.2/CP014046.2; chromosome 2:NZ_CP014047.2/CP014047.2",,2,4539,"2016-02-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/495/GCF_001558495.2_ASM155849v2"
"Faecalibacterium prausnitzii","Bacteria;Terrabacteria group;Bacillota","A2165","SAMN07362387","PRJNA394904","GCA_002734145.1","Complete",3.11004,56.3,"chromosome:NZ_CP022479.1/CP022479.1",,1,2846,"2017-10-27T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/734/145/GCF_002734145.1_ASM273414v1"
"Borreliella afzelii","Bacteria;Spirochaetota;Spirochaetia","S13","SAMN12301944","PRJNA555148","GCA_018141305.1","Complete",0.918834,28.3,"chromosome:NZ_CP042238.1/CP042238.1",,1,807,"2021-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/141/305/GCA_018141305.1_ASM1814130v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/141/305/GCF_018141305.1_ASM1814130v1"
"Photobacterium damselae","Bacteria;Pseudomonadota;Gammaproteobacteria","9046-81","SAMN12648307","PRJNA266293","GCA_009763125.1","Complete",4.45246,40.9092,"chromosome 1:NZ_CP046752.1/CP046752.1; chromosome 2:NZ_CP046751.1/CP046751.1",,2,3612,"2019-12-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/125/GCF_009763125.1_ASM976312v1"
"Rickettsia rickettsii","Bacteria;Pseudomonadota;Alphaproteobacteria","Iowa","SAMN06133287","PRJNA357110","GCA_001951015.1","Complete",1.26824,32.4,"chromosome:NZ_CP018914.1/CP018914.1",,1,1323,"2017-01-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/015/GCF_001951015.1_ASM195101v1"
"Ralstonia pickettii","Bacteria;Pseudomonadota;Betaproteobacteria","K-288","SAMN17126705","PRJNA686860","GCA_016466415.2","Complete",4.83142,63.9135,"chromosome 1:NZ_CP066771.1/CP066771.1; chromosome 2:NZ_CP066772.2/CP066772.2; plasmid pRP6297_1:NZ_CP066773.1/CP066773.1",,3,4403,"2021-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/466/415/GCA_016466415.2_ASM1646641v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/466/415/GCF_016466415.2_ASM1646641v2"
"Lactobacillus helveticus","Bacteria;Terrabacteria group;Bacillota","FAM8105","SAMN04892754","PRJNA319462","GCA_002849935.1","Complete",2.25524,37.041,"chromosome:NZ_CP015496.1/CP015496.1; plasmid pFAM8105:NZ_CP015497.1/CP015497.1",,2,1985,"2018-01-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/935/GCF_002849935.1_ASM284993v1"
"Methanococcus maripaludis","Archaea;Euryarchaeota;Methanomada group","OS7mut1","SAMN06562580","PRJNA378823","GCA_003052125.1","Complete",1.73761,32.9,"chromosome:NZ_CP020120.1/CP020120.1",,1,1819,"2018-04-16T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/052/125/GCF_003052125.1_ASM305212v1"
"Bacillus subtilis","Bacteria;Terrabacteria group;Bacillota","DSM 10","SAMN33591689","PRJNA941188","GCA_029537415.1","Complete",4.29985,43.3355,"chromosome:CP120681.1; plasmid unnamed:CP120680.1",,2,4315,"2023-04-02T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/537/415/GCF_029537415.1_ASM2953741v1"
"Rickettsia bellii RML369-C","Bacteria;Pseudomonadota;Alphaproteobacteria","RML369-C","SAMN02603144","PRJNA13996","GCA_000012385.1","Complete",1.52208,31.6,"chromosome:NC_007940.1/CP000087.1",,1,1436,"2006-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/385/GCA_000012385.1_ASM1238v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/385/GCF_000012385.1_ASM1238v1"
"Delftia acidovorans","Bacteria;Pseudomonadota;Betaproteobacteria","FDAARGOS_997","SAMN16357166","PRJNA231221","GCA_016127415.1","Complete",6.79668,66.6,"chromosome:NZ_CP066006.1/CP066006.1",,1,6045,"2020-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/415/GCA_016127415.1_ASM1612741v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/415/GCF_016127415.1_ASM1612741v1"
"Desulfovibrio vulgaris str. Hildenborough","Bacteria;Thermodesulfobacteriota;Desulfovibrionia","Hildenborough","SAMN02603973","PRJNA51","GCA_000195755.1","Complete",3.77316,63.2394,"chromosome:NC_002937.3/AE017285.1; plasmid pDV:NC_005863.1/AE017286.1",,2,3234,"2001-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/755/GCA_000195755.1_ASM19575v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/755/GCF_000195755.1_ASM19575v1"
